Rank,Scaffold,Primary Model,Verified,Accuracy,Cost (USD),Runs,Traces
,,,,,,,
1,USACO Episodic + Semantic Pareto optimal,GPT-5 Medium (August 2025),✓,69.71%,$64.13 ,1,Download 
2,USACO Episodic + Semantic Pareto optimal,o4-mini High (April 2025),✓,57.98%,$44.04 ,1,Download 
3,USACO Episodic + Semantic,Claude Opus 4.1 High (August 2025),✓,51.47%,$267.72 ,1,Download 
4,USACO Episodic + Semantic,Claude Opus 4.1 (August 2025),✓,48.21%,$276.19 ,1,Download 
5,USACO Episodic + Semantic,o3 Medium (April 2025),✓,46.25%,$57.30 ,1,Download 
6,USACO Episodic + Semantic,GPT-4.1 (April 2025),✓,44.95%,$28.10 ,1,Download 
7,USACO Episodic + Semantic Pareto optimal,DeepSeek V3 (March 2025),✓,39.09%,$12.08 ,1,Download 
8,USACO Episodic + Semantic,DeepSeek R1 (January 2025),✓,38.11%,$80.04 ,1,Download 
9,USACO Episodic + Semantic,o4-mini Low (April 2025),✓,30.94%,$21.14 ,1,Download 
10,USACO Episodic + Semantic,Claude-3.7 Sonnet (February 2025),✓,29.32%,$38.70 ,1,Download 
11,USACO Episodic + Semantic Pareto optimal,Gemini 2.0 Flash (February 2025),✓,27.04%,$1.46 ,1,Download 
12,USACO Episodic + Semantic,Claude-3.7 Sonnet High (February 2025),✓,26.71%,$56.43 ,1,Download 
13,HAL Generalist Agent,GPT-4.1 (April 2025),✓,25.41%,$197.33 ,1,Download 